league,id,name_ko,partner1,partner2,partner3,covers,party_note
master,metagross,메타그로스,제르네아스,블랙 큐레무,화이트 큐레무,화이트 큐레무 / 칠색조·가이오가·랜드로스 (영물폼)·그란돈 / 칠색조·가이오가·그란돈,
master,xerneas,제르네아스,펄기아 (오리진),가이오가,블랙 큐레무,칠색조·자시안 (검왕)·가이오가·랜드로스 (영물폼) / 칠색조·자시안 (검왕)·자마젠타 (방패왕)·랜드로스 (영물폼) / 칠색조·가이오가·랜드로스 (영물폼),
master,reshiram,레시라무,자시안 (검왕),제르네아스,디아루가 (오리진),디아루가 (오리진)·루기아·랜드로스 (영물폼)·자마젠타 (방패왕) / 디아루가 (오리진)·펄기아 (오리진)·루기아 / 펄기아 (오리진)·루기아·랜드로스 (영물폼),
master,ursaluna,다투곰,자시안 (검왕),그란돈,화이트 큐레무,디아루가 (오리진)·블랙 큐레무 / 디아루가 (오리진)·자시안 (검왕) / 가이오가·블랙 큐레무·펄기아 (오리진),
master,eternatus,무한다이노,네크로즈마 (새벽의 날개),디아루가 (오리진),제르네아스,자시안 (검왕)·자마젠타 (방패왕) / 펄기아 (오리진)·랜드로스 (영물폼) / 펄기아 (오리진)·디아루가 (오리진),
master,reshiram_shadow,그림자 레시라무,제르네아스,디아루가 (오리진),화이트 큐레무,펄기아 (오리진)·화이트 큐레무 / 랜드로스 (영물폼)·가이오가·펄기아 (오리진)·화이트 큐레무 / 가이오가·펄기아 (오리진),
master,zamazenta_crowned_shield,자마젠타 (방패왕),화이트 큐레무,블랙 큐레무,펄기아 (오리진),네크로즈마 (새벽의 날개)·가이오가·칠색조·루기아 / 네크로즈마 (새벽의 날개)·가이오가·칠색조·루기아 / 네크로즈마 (새벽의 날개)·가이오가·칠색조·자시안 (검왕),
master,ursaluna_shadow,그림자 다투곰,디아루가 (오리진),자시안 (검왕),그란돈,펄기아 (오리진)·가이오가·블랙 큐레무 / 디아루가 (오리진)·블랙 큐레무 / 디아루가 (오리진)·자시안 (검왕),
master,necrozma_dawn_wings,네크로즈마 (새벽의 날개),제르네아스,자시안 (검왕),디아루가 (오리진),화이트 큐레무·디아루가 (오리진)·펄기아 (오리진) / 화이트 큐레무·블랙 큐레무·디아루가 (오리진) / 화이트 큐레무·블랙 큐레무·가이오가·펄기아 (오리진),
master,marshadow,마샤도,가이오가,화이트 큐레무,펄기아 (오리진),칠색조·제르네아스·그란돈 / 칠색조·그란돈·가이오가·펄기아 (오리진) / 칠색조·가이오가,
master,zekrom,제크로무,제르네아스,디아루가 (오리진),가이오가,화이트 큐레무·펄기아 (오리진) / 화이트 큐레무·펄기아 (오리진)·랜드로스 (영물폼) / 제르네아스·자마젠타 (방패왕)·랜드로스 (영물폼),
master,necrozma_dusk_mane,네크로즈마 (황혼의 갈기),제르네아스,화이트 큐레무,디아루가 (오리진),화이트 큐레무·펄기아 (오리진) / 칠색조·가이오가·펄기아 (오리진) / 화이트 큐레무·칠색조·가이오가·펄기아 (오리진),
master,palkia_shadow,그림자 펄기아,제르네아스,네크로즈마 (새벽의 날개),디아루가 (오리진),펄기아 (오리진)·화이트 큐레무 / 자시안 (검왕)·자마젠타 (방패왕) / 펄기아 (오리진)·화이트 큐레무·블랙 큐레무,
master,garchomp_shadow,그림자 한카리아스,가이오가,네크로즈마 (새벽의 날개),디아루가 (오리진),자마젠타 (방패왕)·칠색조·랜드로스 (영물폼) / 자마젠타 (방패왕) / 펄기아 (오리진)·칠색조·랜드로스 (영물폼)·가이오가,
master,groudon,그란돈,펄기아 (오리진),화이트 큐레무,디아루가 (오리진),칠색조·블랙 큐레무·랜드로스 (영물폼)·가이오가 / 칠색조·블랙 큐레무·가이오가 / 칠색조·블랙 큐레무·화이트 큐레무·랜드로스 (영물폼)·가이오가,
master,metagross_shadow,그림자 메타그로스,제르네아스,디아루가 (오리진),가이오가,화이트 큐레무·펄기아 (오리진) / 랜드로스 (영물폼)·화이트 큐레무·지가르데·칠색조·펄기아 (오리진) / 랜드로스 (영물폼)·지가르데·칠색조,
master,melmetal,멜메탈,가이오가,펄기아 (오리진),블랙 큐레무,그란돈·랜드로스 (영물폼)·칠색조·자시안 (검왕)·자마젠타 (방패왕) / 랜드로스 (영물폼)·칠색조·자시안 (검왕) / 그란돈·랜드로스 (영물폼)·칠색조,
master,keldeo_resolute,케르디오,디아루가 (오리진),자시안 (검왕),가이오가,루기아·펄기아 (오리진)·랜드로스 (영물폼)·칠색조 / 제르네아스·루기아·랜드로스 (영물폼) / 제르네아스·랜드로스 (영물폼)·칠색조,
master,garchomp,한카리아스,블랙 큐레무,화이트 큐레무,자시안 (검왕),루기아·가이오가 / 루기아·가이오가 / 루기아·제르네아스·자마젠타 (방패왕),
